,Teams ,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16 ,Week 17
,ARI,1613,1599,1613,1579,1554,1574,1592,1592,1568,1568,1572,1554,1531,1549,1535,1504,1526
,ATL,1486,1455,1481,1510,1541,1576,1570,1547,1553,1576,1555,1555,1579,1572,1596,1602,1635
,BAL,1475,1494,1509,1517,1507,1481,1467,1449,1449,1474,1484,1473,1489,1520,1512,1516,1508
,BUF,1519,1501,1478,1512,1559,1586,1598,1579,1552,1541,1541,1559,1564,1543,1521,1527,1510
,CAR,1634,1628,1640,1604,1574,1549,1532,1532,1556,1568,1555,1563,1552,1532,1548,1577,1544
,CHI,1444,1430,1403,1386,1402,1389,1380,1370,1410,1410,1383,1375,1352,1373,1368,1360,1338
,CIN,1578,1586,1570,1546,1560,1533,1517,1525,1525,1525,1519,1500,1485,1510,1522,1507,1498
,CLE,1395,1378,1363,1352,1339,1326,1318,1309,1300,1287,1276,1263,1251,1251,1239,1232,1253
,DAL,1446,1438,1459,1476,1500,1526,1566,1566,1582,1595,1614,1625,1635,1645,1628,1638,1655
,DEN,1637,1643,1652,1676,1690,1654,1620,1635,1644,1614,1623,1623,1606,1615,1595,1571,1553
,DET,1503,1521,1509,1497,1481,1488,1499,1511,1495,1524,1524,1531,1543,1572,1576,1553,1536
,GB,1582,1592,1581,1593,1593,1602,1562,1572,1566,1537,1494,1474,1513,1529,1570,1578,1593
,HOU,1506,1520,1544,1525,1532,1517,1526,1510,1527,1527,1535,1514,1482,1467,1491,1493,1502
,IND,1484,1466,1456,1469,1449,1462,1453,1474,1453,1482,1482,1494,1460,1502,1478,1526,1513
,JAX,1389,1379,1358,1350,1370,1370,1379,1351,1329,1326,1318,1312,1306,1297,1286,1284,1326
,KC,1621,1628,1604,1623,1593,1593,1616,1624,1644,1647,1661,1639,1655,1662,1675,1653,1671
,LA,1479,1448,1476,1495,1519,1492,1481,1459,1459,1447,1465,1447,1423,1416,1392,1383,1372
,MIA,1439,1435,1428,1440,1426,1384,1430,1449,1449,1464,1490,1509,1516,1485,1499,1529,1546
,MIN,1567,1580,1591,1627,1638,1653,1653,1624,1585,1555,1537,1554,1542,1532,1544,1495,1480
,NE,1605,1619,1626,1645,1598,1612,1629,1656,1683,1683,1654,1663,1673,1680,1688,1712,1719
,NO,1464,1455,1445,1416,1425,1425,1442,1434,1462,1487,1478,1470,1495,1465,1454,1485,1504
,NYG,1469,1477,1487,1472,1461,1452,1466,1488,1488,1506,1512,1521,1533,1517,1533,1556,1536
,NYJ,1522,1515,1538,1519,1498,1485,1467,1484,1494,1479,1460,1460,1450,1409,1425,1395,1389
,OAK,1455,1464,1438,1457,1467,1476,1453,1481,1503,1533,1533,1554,1565,1586,1574,1585,1598
,PHI,1488,1504,1531,1570,1570,1563,1542,1571,1555,1537,1558,1545,1506,1480,1461,1457,1477
,PIT,1591,1620,1635,1596,1625,1639,1593,1566,1566,1542,1523,1536,1570,1586,1608,1623,1631
,SD,1438,1432,1452,1440,1431,1421,1456,1478,1469,1481,1454,1454,1485,1461,1445,1434,1414
,SF,1437,1468,1457,1445,1422,1401,1390,1358,1358,1332,1328,1320,1313,1292,1276,1270,1281
,SEA,1635,1638,1610,1622,1643,1643,1650,1650,1623,1635,1664,1676,1641,1660,1619,1627,1605
,TB,1412,1443,1429,1410,1397,1421,1421,1454,1432,1409,1435,1456,1492,1517,1528,1518,1499
,TEN,1349,1337,1349,1330,1323,1365,1372,1351,1373,1361,1404,1392,1415,1415,1435,1457,1415
,WSH,1496,1468,1447,1462,1474,1500,1521,1509,1509,1509,1528,1548,1538,1520,1539,1510,1532
