Team,Teams ,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16 ,Week 17
1,ARI,1,1,0,1,0,1,1,0,,1,0,0,1,0,1,0,0
2,ATL,1,0,0,1,0,0,1,1,0,0,,1,1,0,1,0,1
3,BAL,1,0,0,1,1,0,0,,1,1,0,1,1,0,1,0,0
4,BUF,0,1,1,0,0,1,0,1,0,,0,1,0,1,1,1,0
5,CAR,0,1,1,0,1,0,,1,0,1,1,0,0,1,0,1,0
6,CHI,0,1,0,1,0,1,0,1,,0,0,1,1,0,1,1,0
7,CIN,0,0,1,1,0,0,1,1,,0,1,0,1,0,1,0,1
8,CLE,0,1,0,0,1,0,0,1,1,0,1,1,,1,0,1,0
9,DAL,1,0,1,0,1,0,,1,0,0,1,1,0,0,1,1,0
10,DEN,1,1,0,0,1,0,1,1,0,0,,1,0,0,1,0,1
11,DET,0,1,0,0,1,1,1,0,0,,1,1,0,1,0,0,1
12,GB,0,0,1,,1,1,1,0,1,0,0,0,1,1,0,1,0
13,HOU,1,1,0,1,0,1,0,1,,0,0,1,0,0,1,1,0
14,IND,1,0,1,0,1,0,0,1,0,,1,1,0,1,0,0,1
15,JAX,1,0,1,1,,0,1,0,0,1,0,0,1,1,0,1,0
16,KC,1,0,1,0,,0,1,0,1,0,1,0,0,1,1,1,0
17,LA,0,1,0,0,1,0,1,,1,0,1,0,0,1,0,1,1
18,MIA,0,0,1,0,1,1,1,,1,0,0,1,0,1,0,0,1
19,MIN,0,1,0,1,1,,0,0,1,0,1,0,1,0,1,0,1
20,NE,0,1,1,1,0,1,0,0,,1,0,0,1,1,0,1,0
21,NO,1,0,1,0,,1,0,1,0,1,0,1,1,0,0,1,0
22,NYG,0,1,1,0,0,1,0,,1,1,1,0,0,1,1,0,0
23,NYJ,1,0,0,1,0,0,1,0,0,1,,1,1,0,1,0,1
24,OAK,0,1,0,0,1,1,0,0,1,,1,1,1,0,0,1,0
25,PHI,1,0,1,,0,0,1,0,0,1,0,1,0,1,0,1,1
26,PIT,0,1,0,1,1,0,1,,0,1,0,0,1,0,0,1,1
27,SD,0,1,0,1,0,1,0,0,1,1,,0,1,0,1,0,1
28,SF,1,0,0,1,1,0,1,,1,0,1,0,0,1,0,0,1
29,SEA,1,0,1,0,,1,0,0,1,0,1,0,1,0,1,1,0
30,TB,0,0,1,1,0,,0,1,1,1,0,1,0,1,0,0,1
31,TEN,1,0,1,0,0,1,1,1,0,1,0,0,,1,0,0,1
32,WSH,1,1,0,1,0,1,0,0,,1,1,0,0,0,1,0,1
