Team,Teams ,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16 ,Week 17
1,ARI,20,30,4,17,28,23,29,5,,28,19,2,32,18,21,29,17
2,ATL,30,24,21,5,10,29,27,12,30,25,,1,16,17,28,5,21
3,BAL,4,8,15,24,32,22,23,,26,8,9,7,18,20,25,26,7
4,BUF,3,23,1,20,17,28,18,20,29,,7,15,24,26,8,18,23
5,CAR,10,28,19,2,30,21,,1,17,16,21,24,29,27,32,1,30
6,CHI,13,25,9,11,14,15,12,19,,30,22,31,28,11,12,32,19
7,CIN,23,26,10,18,9,20,8,32,,22,4,3,25,8,26,13,3
8,CLE,25,3,18,32,20,31,7,23,9,3,26,22,,7,4,27,26
9,DAL,22,32,6,28,7,12,,25,8,26,3,32,19,22,30,11,25
10,DEN,5,14,7,30,2,27,13,27,24,21,,16,15,31,20,16,24
11,DET,14,31,12,6,25,17,32,13,19,,15,19,21,6,22,9,12
12,GB,15,19,11,,22,9,6,2,14,31,32,25,13,29,6,19,11
13,HOU,6,16,20,31,19,14,10,11,,15,24,17,12,14,15,7,31
14,IND,11,10,27,15,6,13,31,16,12,,31,26,23,13,19,24,15
15,JAX,12,27,3,14,,6,24,31,16,13,11,4,10,19,13,31,14
16,KC,27,13,23,26,,24,21,14,15,5,30,10,2,24,31,10,27
17,LA,28,29,30,1,4,11,22,,5,23,18,21,20,2,29,28,1
18,MIA,29,20,8,7,31,26,4,,23,27,17,28,3,1,23,4,20
19,MIN,31,12,5,22,13,,25,6,11,32,1,11,9,15,14,12,6
20,NE,1,18,13,4,8,7,26,4,,29,28,23,17,3,10,23,18
21,NO,24,22,2,27,,5,16,29,28,10,5,17,11,30,1,30,2
22,NYG,9,21,32,19,12,3,17,,25,7,6,8,26,9,11,25,32
23,NYJ,7,4,16,29,26,1,3,8,18,17,,,,,,,
24,OAK,21,2,31,3,27,16,15,30,10,,13,5,4,16,27,14,10
25,PHI,8,6,26,,11,32,19,9,22,2,29,12,7,32,3,22,9
26,PIT,32,7,25,16,23,18,20,,3,9,8,14,22,4,7,3,8
27,SD,16,15,14,21,24,10,2,10,31,18,,13,30,5,24,8,16
28,SF,17,5,29,9,1,4,30,,21,1,20,18,6,23,2,17,29
29,SEA,18,17,28,23,,2,1,21,4,20,25,30,5,12,17,1,28
30,TB,2,1,17,10,5,,28,24,2,6,16,29,27,21,9,21,5
31,TEN,19,11,24,13,18,8,14,15,27,12,14,6,,10,16,15,13
32,WSH,26,9,22,8,3,25,11,7,,19,12,9,1,25,5,6,22
