Teams ,Week 1,Week 2,Week 3,Week 4,Week 5
ARI,1537,1514,1529,1501,1506
ATL,1617,1627,1645,1660,1627
BAL,1491,1531,1539,1485,1460
BUF,1484,1500,1487,1514,1548
CAR,1527,1547,1560,1512,1536
CHI,1384,1374,1360,1392,1382
CIN,1516,1476,1455,1449,1474
CLE,1336,1330,1321,1315,1290
DAL,1569,1589,1560,1588,1557
DEN,1556,1562,1591,1564,1578
DET,1501,1524,1556,1541,1565
GB,1587,1603,1585,1591,1601
HOU,1502,1451,1472,1468,1501
IND,1514,1471,1456,1462,1443
JAX,1382,1433,1396,1450,1439
KC,1613,1654,1664,1677,1687
LAC,1437,1439,1420,1407,1398
LAR,1399,1441,1418,1428,1460
MIA,1509,1509,1519,1489,1460
MIN,1498,1517,1501,1526,1502
NE,1687,1647,1666,1670,1646
NO,1498,1479,1460,1508,1537
NYG,1530,1511,1479,1471,1463
NYJ,1452,1436,1420,1450,1461
OAK,1530,1553,1569,1539,1525
PHI,1511,1543,1532,1541,1550
PIT,1599,1605,1621,1589,1614
SF,1353,1333,1329,1319,1314
SEA,1571,1555,1559,1538,1557
TB,1506,1506,1520,1495,1503
TEN,1460,1436,1474,1494,1461
WSH,1504,1473,1496,1526,1516
