Team,Teams ,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16 ,Week 17
1,ARI,11,14,9,28,26,30,18,,28,29,13,15,18,31,32,23,29
2,ATL,6,12,11,4,,19,21,24,5,9,29,30,20,22,30,22,5
3,BAL,7,8,15,27,25,6,20,19,31,,12,13,11,27,8,14,7
4,BUF,24,5,10,2,7,,30,25,24,22,18,16,21,14,19,21,19
5,CAR,28,4,22,21,11,26,6,30,2,19,,24,22,20,12,30,2
6,CHI,2,30,27,12,20,3,5,22,,12,11,26,28,7,11,8,20
7,CIN,3,13,12,8,4,,27,14,15,31,10,8,27,6,20,11,3
8,CLE,27,3,14,7,24,13,31,20,,11,15,7,17,12,3,6,27
9,DAL,23,10,1,18,12,,28,32,16,2,26,17,32,23,25,29,26
10,DEN,17,9,4,25,,23,17,16,26,21,7,25,19,24,14,32,16
11,DET,1,23,2,20,5,22,,27,12,8,6,20,3,30,6,7,12
12,GB,29,2,7,6,9,20,22,,11,6,3,27,30,8,5,20,11
13,HOU,15,7,21,31,16,8,,29,14,18,1,3,31,28,15,27,14
14,IND,18,1,8,29,28,31,15,7,13,27,,31,15,4,10,3,13
15,JAX,13,31,3,24,27,18,14,,7,17,8,1,14,29,13,28,31
16,KC,21,26,17,32,13,27,25,10,9,,23,4,24,25,17,19,10
17,LAC,10,19,16,26,23,25,10,21,,15,4,9,8,32,16,24,25
18,LAR,14,32,28,9,29,15,1,,23,13,20,22,1,26,29,31,28
19,MIA,,17,24,22,31,2,24,3,25,5,30,21,10,21,4,16,4
20,MIN,22,27,30,11,6,12,3,8,,32,18,11,2,5,7,12,6
21,NE,16,22,13,5,30,24,2,17,,10,25,19,4,19,27,4,24
22,NO,20,21,5,19,,11,12,6,30,4,32,18,5,2,24,2,30
23,NYG,9,11,26,30,17,10,29,,18,28,16,32,25,9,26,1,32
24,NYJ,4,25,19,15,8,21,19,2,4,30,,5,16,10,22,17,21
25,OAK,31,24,32,10,3,17,16,4,19,,21,10,23,16,9,26,17
26,PHI,32,16,23,17,1,5,32,28,10,,9,6,29,18,23,25,9
27,PIT,8,20,6,3,15,16,7,11,,14,31,12,7,3,21,13,8
28,SF,5,29,18,1,14,32,9,26,1,23,,29,6,13,31,15,18
29,SEA,12,28,31,14,18,,23,13,32,1,2,28,26,15,18,9,1
30,TB,,6,20,23,21,1,4,5,22,24,19,2,12,11,2,5,22
31,TEN,25,15,29,13,19,14,8,,3,7,27,14,13,1,28,18,15
32,WSH,26,18,25,16,,28,26,9,29,20,22,23,9,17,1,10,23
